Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Max Muncy","LAD","3B",801.1,,,,0,,-1,4,,3,,,,,,,,-5,-4,-1.6053387218377309,"Max Muncy",13301,571970
"Jorge Polanco","SEA","3B",43,,,,0,,0,-1,,-2,,,,,,,,-2,-2,-1.6229591677452992,"Jorge Polanco",13152,593871
"Jordan Lawlar","ARI","3B",76,,,,0,,0,-1,,-1,,,,,,,,-2,-2,-1.6252731974387102,"Jordan Lawlar",29976,691783
"Pablo Reyes","NYY","3B",18,,,,0,,0,-2,,-2,,,,,,,,-2,-2,-1.6267573886046094,"Pablo Reyes",16357,622569
"Gage Workman","- - -","3B",39,,,,0,,0,-3,,-3,,,,,,,,-2,-2,-1.7061786904440086,"Gage Workman",27573,669398
"Jazz Chisholm Jr.","NYY","3B",238,,,,0,,0,-4,,-4,,,,,,,,-3,-3,-1.7131604144150507,"Jazz Chisholm Jr.",20454,665862
"Chad Stevens","LAA","3B",13,,,,0,,0,-1,,-1,,,,,,,,-3,-2,-1.8689724252912325,"Chad Stevens",29614,677060
"Brooks Baldwin","CHW","3B",96.2,,,,0,,0,-1,,-1,,,,,,,,-3,-2,-1.9913621182296999,"Brooks Baldwin",31394,681460
"Manny Machado","SDP","3B",1252.2,,,,0,,1,2,,3,,,,,,,,-6,-4,-2.0313624823271184,"Manny Machado",11493,592518
"Miguel Andujar","ATH","3B",237.2,,,,0,,1,-6,,-6,,,,,,,,-4,-3,-2.166716044225975,"Miguel Andujar",15878,609280
"Willi Castro","- - -","3B",129,,,,0,,0,-2,,-2,,,,,,,,-4,-3,-2.5222922928581997,"Willi Castro",17338,650489
"José Tena","WSN","3B",351.1,,,,0,,1,-1,,0,,,,,,,,-5,-3,-2.6354308326101745,"Jose Tena",23691,677588
"Jonathan India","KCR","3B",149.1,,,,0,,1,-3,,-2,,,,,,,,-4,-3,-2.7641418220132254,"Jonathan India",21523,663697
"Amed Rosario","- - -","3B",230.2,,,,0,,0,-2,,-4,,,,,,,,-5,-4,-3.0192636785417206,"Amed Rosario",15518,642708
"Kyle Farmer","COL","3B",65,,,,0,,0,-1,,-1,,,,,,,,-4,-3,-3.1854108571240247,"Kyle Farmer",14813,571657
"Miguel Vargas","CHW","3B",645.2,,,,0,,1,-4,,-3,,,,,,,,-7,-5,-3.9437833587500917,"Miguel Vargas",20178,678246
"Luis Rengifo","LAA","3B",567.2,,,,1,,0,-5,,-5,,,,,,,,-7,-5,-4.105254211487221,"Luis Rengifo",19858,650859
"Mark Vientos","NYM","3B",556,,,,0,,0,-10,,-10,,,,,,,,-7,-6,-4.2986381409567995,"Mark Vientos",22184,668901
"Josh Rojas","CHW","3B",318.1,,,,0,,-1,-5,,-8,,,,,,,,-7,-5,-4.454068605416092,"Josh Rojas",19734,668942
"Otto Kemp","PHI","3B",255,,,,0,,1,-8,,-7,,,,,,,,-7,-6,-4.758072229314941,"Otto Kemp",31792,805249
"Nolan Gorman","STL","3B",410.1,,,,1,,1,-6,,-3,,,,,,,,-9,-6,-5.484699333574837,"Nolan Gorman",22263,669357
"Yoán Moncada","LAA","3B",593.1,,,,1,,0,-11,,-10,,,,,,,,-13,-9,-8.656809742398217,"Yoan Moncada",17232,660162
