Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Masataka Yoshida","BOS","RF",8,,,,,0,0,0,,0,,,,,,,,0,0,-0.018759291653541423,"Masataka Yoshida",31837,807799
"Maikel Garcia","KCR","RF",8,,,,,0,0,0,,0,,,,,,,,0,0,-0.018825228020596618,"Maikel Garcia",22715,672580
"Sam Haggerty","TEX","RF",39,,,,,0,0,0,,0,,,,,,,,0,0,-0.01996728877956458,"Sam Haggerty",18054,664059
"Jake Bauers","MIL","RF",30,,,,,0,0,0,,0,,,,,,,,0,0,-0.02036265642546381,"Jake Bauers",15194,641343
"DaShawn Keirsey Jr.","MIN","RF",93.1,,,,,0,0,-1,,-1,,,,,,,,0,0,-0.02854364626628564,"DaShawn Keirsey Jr.",24496,680577
"Chas McCormick","HOU","RF",41.2,,,,,0,0,0,,0,,,,,,,,0,0,-0.029268337514301718,"Chas McCormick",19599,676801
"José Fermín","STL","RF",8,,,,,0,0,1,,1,,,,,,,,0,0,-0.03304146363729335,"Jose Fermin",21746,665877
"Zac Veen","COL","RF",45,,,,,0,0,0,,0,,,,,,,,0,0,-0.03383633506935285,"Zac Veen",27770,691728
"Jhostynxon Garcia","BOS","RF",15,,,,,0,0,0,,0,,,,,,,,0,0,-0.03455854574064494,"Jhostynxon Garcia",28142,691373
"Esteury Ruiz","LAD","RF",18,,,,,0,0,0,,0,,,,,,,,0,0,-0.04208667787505331,"Esteury Ruiz",21780,665923
"Joc Pederson","TEX","RF",3,,,,,0,0,0,,0,,,,,,,,0,0,-0.060355565035344706,"Joc Pederson",11899,592626
"Seth Brown","ATH","RF",14,,,,,0,0,0,,0,,,,,,,,0,0,-0.0675535464077293,"Seth Brown",18171,664913
"Garrett Hampson","STL","RF",22,,,,,0,0,0,,0,,,,,,,,0,0,-0.07051191563568926,"Garrett Hampson",19262,641658
"Mike Yastrzemski","- - -","RF",1013.2,,,,,5,0,2,,7,,,,,,,,-2,3,-0.08262436343370005,"Mike Yastrzemski",14854,573262
"Matt Vierling","DET","RF",13,,,,,0,0,0,,0,,,,,,,,0,0,-0.08435151072919145,"Matt Vierling",21558,663837
"Miguel Andujar","ATH","RF",22,,,,,0,0,2,,2,,,,,,,,0,0,-0.09485329974014421,"Miguel Andujar",15878,609280
"Daz Cameron","MIL","RF",45.1,,,,,0,0,-2,,-2,,,,,,,,0,0,-0.10334340172558143,"Daz Cameron",18353,663662
"Pablo Reyes","NYY","RF",21,,,,,0,0,0,,0,,,,,,,,0,0,-0.11526046065114481,"Pablo Reyes",16357,622569
"Samad Taylor","SEA","RF",17,,,,,0,0,0,,0,,,,,,,,0,0,-0.12311069770417074,"Samad Taylor",22274,669392
"Victor Scott II","STL","RF",9.1,,,,,0,0,0,,0,,,,,,,,0,0,-0.1303092612261985,"Victor Scott II",31349,687363
