Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Jhonkensy Noel","CLE","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Jhonkensy Noel",24257,678877
"Matt Gorski","PIT","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Matt Gorski",25855,685301
"Dominic Fletcher","CHW","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Dominic Fletcher",26149,666150
"Petey Halpin","CLE","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Petey Halpin",27931,690984
"Kyle Teel","CHW","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Kyle Teel",33549,691019
"Miguel Vargas","CHW","LF",1,,,,,0,0,0,,0,,,,,,,,0,0,-0.006314840954870272,"Miguel Vargas",20178,678246
"Billy McKinney","TEX","LF",9,,,,,0,0,0,,0,,,,,,,,0,0,-0.007715373691514198,"Billy McKinney",15654,641856
"José Fermín","STL","LF",16,,,,,0,0,0,,0,,,,,,,,0,0,-0.008470196171235456,"Jose Fermin",21746,665877
"Pablo Reyes","NYY","LF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Pablo Reyes",16357,622569
"Andruw Monasterio","MIL","LF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Andruw Monasterio",19455,655316
"Nick Maton","CHW","LF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Nick Maton",21635,665155
"Kyren Paris","LAA","LF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Kyren Paris",26420,677347
"Angel Martínez","CLE","LF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Angel Martinez",26540,682657
"Andrew McCutchen","PIT","LF",8.2,,,,,0,0,0,,0,,,,,,,,0,0,-0.013672448219837773,"Andrew McCutchen",9847,457705
