Position	Name	Range/Blocking	Error/Framing	Arm	Turn DP	Games	W	L	Runs scored	Runs allowed	winpct	run score/G	run conc/G	win/162 delta	run/162 delta
CF-Systematic	RNG60xERR40xARM60	60	40	60	N/A	100000	49982	50018	434504	436250	49.98%	4.35	4.36	-0.27	-3.7
CF-Systematic	RNG80xERR40xARM60	80	40	60	N/A	100000	51830	48170	433203	415472	51.83%	4.33	4.15	2.73	30.0
CF-Systematic	RNG40xERR60xARM60	40	60	60	N/A	100000	49505	50495	434654	440351	49.51%	4.35	4.40	-1.04	-10.3
CF-Systematic	RNG60xERR60xARM60	60	60	60	N/A	100000	50202	49798	433767	432353	50.20%	4.34	4.32	0.09	2.7
CF-Systematic	RNG80xERR60xARM60	80	60	60	N/A	100000	52029	47971	433682	413756	52.03%	4.34	4.14	3.05	32.8
CF-Systematic	RNG40xERR80xARM60	40	80	60	N/A	100000	49468	50532	434891	440654	49.47%	4.35	4.41	-1.10	-10.8
CF-Systematic	RNG60xERR80xARM60	60	80	60	N/A	100000	50195	49805	432497	431119	50.20%	4.32	4.31	0.08	4.7
CF-Systematic	RNG80xERR80xARM60	80	80	60	N/A	100000	52228	47772	434443	413957	52.23%	4.34	4.14	3.37	32.5
CF-Systematic	RNG40xERR40xARM80	40	40	80	N/A	100000	49672	50328	434257	439065	49.67%	4.34	4.39	-0.77	-8.2
CF-Systematic	RNG60xERR40xARM80	60	40	80	N/A	100000	50116	49884	433910	432477	50.12%	4.34	4.32	-0.05	2.5
CF-Systematic	RNG80xERR40xARM80	80	40	80	N/A	100000	52811	47189	436039	410367	52.81%	4.36	4.10	4.32	38.3
CF-Systematic	RNG40xERR60xARM80	40	60	80	N/A	100000	49962	50038	434209	435913	49.96%	4.34	4.36	-0.30	-3.1
CF-Systematic	RNG60xERR60xARM80	60	60	80	N/A	100000	50427	49573	434917	431192	50.43%	4.35	4.31	0.45	4.5
CF-Systematic	RNG80xERR60xARM80	80	60	80	N/A	100000	52524	47476	432848	409602	52.52%	4.33	4.10	3.85	39.5
CF-Systematic	RNG40xERR80xARM80	40	80	80	N/A	100000	49823	50177	434802	437734	49.82%	4.35	4.38	-0.53	-6.1
CF-Systematic	RNG60xERR80xARM80	60	80	80	N/A	100000	50400	49600	433071	429270	50.40%	4.33	4.29	0.41	7.7
CF-Systematic	RNG80xERR80xARM80	80	80	80	N/A	100000	52585	47415	433348	409532	52.59%	4.33	4.10	3.95	39.6
CF-Systematic	RNG70xERR60xARM40	70	60	40	N/A	100000	51241	48759	433438	419951	51.24%	4.33	4.20	1.77	22.8
CF-Systematic	RNG70xERR60xARM60	70	60	60	N/A	100000	52301	47699	433853	411876	52.30%	4.34	4.12	3.49	35.8
CF-Systematic	RNG70xERR60xARM80	70	60	80	N/A	100000	52684	47316	433986	409775	52.68%	4.34	4.10	4.11	39.2
CF-Systematic	RNG65xERR60xARM40	65	60	40	N/A	100000	51182	48818	432614	419790	51.18%	4.33	4.20	1.68	23.0
CF-Systematic	RNG65xERR60xARM60	65	60	60	N/A	100000	51975	48025	433801	415251	51.98%	4.34	4.15	2.96	30.4
CF-Systematic	RNG65xERR60xARM80	65	60	80	N/A	100000	52680	47320	434466	409611	52.68%	4.34	4.10	4.10	39.5
CF-Systematic	RNG45xERR60xARM60	45	60	60	N/A	100000	49302	50698	434539	440957	49.30%	4.35	4.41	-1.37	-11.3
CF-Systematic	RNG50xERR60xARM60	50	60	60	N/A	100000	49379	50621	434833	440526	49.38%	4.35	4.41	-1.24	-10.6
CF-Systematic	RNG55xERR60xARM60	55	60	60	N/A	100000	49451	50549	434265	440136	49.45%	4.34	4.40	-1.13	-9.9
LF-Systematic	Baseline	50	45	50	N/A	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
LF-Systematic	RNG40xERR40xARM40	40	40	40	N/A	100000	49373	50627	435057	443397	49.37%	4.35	4.43	-1.25	-15.2
